TrxID	GeneName	GeneID	DpleGene	MsexGene
PIERAPT00000015475	TSC1_2	PIERAPG00000006433	DPOGS204625	Msex2.13764
PIERAPT00000015479	INTS7	PIERAPG00000006434	DPOGS200642	Msex2.04058
PIERAPT00000015488	C1TC	PIERAPG00000006438	DPOGS211321	Msex2.05258
PIERAPT00000015495	kinX	PIERAPG00000006441	DPOGS205488	Msex2.08441
PIERAPT00000015496	shkC	PIERAPG00000006442	DPOGS210275	Msex2.09838
PIERAPT00000015498	SOX14_2	PIERAPG00000006444	DPOGS210897	Msex2.00277
PIERAPT00000015499	Zw10_2	PIERAPG00000006445	DPOGS200526	Msex2.08377
PIERAPT00000015503	AAEL013712_2	PIERAPG00000006447	DPOGS205671	Msex2.06289
PIERAPT00000015505	AAEL001501	PIERAPG00000006448	DPOGS213582	Msex2.02361
PIERAPT00000015512	SCARB1_3	PIERAPG00000006450	DPOGS203180	Msex2.01923
PIERAPT00000015517	coa5	PIERAPG00000006452	DPOGS214539	NA
PIERAPT00000015518	poc1bGB1	PIERAPG00000006453	DPOGS202110	Msex2.00165
PIERAPT00000015522	PGM2	PIERAPG00000006455	DPOGS202799	Msex2.04816
PIERAPT00000015528	NSMAF	PIERAPG00000006456	DPOGS201278	NA
PIERAPT00000015530	CERS6_2	PIERAPG00000006458	DPOGS206860	Msex2.03591
PIERAPT00000015531	P65-C	PIERAPG00000006459	DPOGS215503	Msex2.09088
PIERAPT00000015532	Vac14	PIERAPG00000006460	DPOGS209891	Msex2.10692
PIERAPT00000015534	ttcA_4	PIERAPG00000006461	DPOGS211158	Msex2.09246
PIERAPT00000015538	M6pr_2	PIERAPG00000006464	DPOGS207875	Msex2.00469
PIERAPT00000015539	Slc39a11	PIERAPG00000006465	DPOGS213527	Msex2.02393
PIERAPT00000015540	PA2	PIERAPG00000006466	DPOGS207005	Msex2.05073,Msex2.05071
PIERAPT00000015541	epi-1	PIERAPG00000006467	DPOGS215269	Msex2.07422
PIERAPT00000015547	HSPBAP1	PIERAPG00000006470	DPOGS204161	Msex2.14022
PIERAPT00000015552	CYB561D1LAL5	PIERAPG00000006471	NA	Msex2.06384
PIERAPT00000015556	WDR13	PIERAPG00000006474	DPOGS200349	Msex2.07815,Msex2.07816
PIERAPT00000015566	DDX11L8DDX11	PIERAPG00000006475	DPOGS208980	Msex2.10579
PIERAPT00000015577	Spase22-23	PIERAPG00000006477	DPOGS205623	Msex2.06286
PIERAPT00000015586	meigo	PIERAPG00000006482	DPOGS203410	Msex2.11622
PIERAPT00000015592	Fam162a	PIERAPG00000006485	DPOGS209004	Msex2.00693
PIERAPT00000015595	ANAPC2	PIERAPG00000006488	DPOGS214581	Msex2.11015
PIERAPT00000015598	twf	PIERAPG00000006489	DPOGS207578	Msex2.10828
PIERAPT00000015599	ACADSB	PIERAPG00000006490	DPOGS211032	Msex2.04080
PIERAPT00000015601	Dnah3	PIERAPG00000006491	DPOGS211202	NA
PIERAPT00000015615	CASK	PIERAPG00000006500	DPOGS210681	Msex2.09345
PIERAPT00000015620	betaTub60D	PIERAPG00000006503	DPOGS213388	Msex2.06075
PIERAPT00000015621	lysoz_3	PIERAPG00000006504	NA	Msex2.13469
PIERAPT00000015622	Tomm20	PIERAPG00000006505	DPOGS205872	Msex2.11218
PIERAPT00000015623	PRMT5	PIERAPG00000006506	DPOGS204390	Msex2.03312
PIERAPT00000015630	tmem11-b	PIERAPG00000006507	DPOGS206104	Msex2.09194
PIERAPT00000015631	PNLIPRP2_4	PIERAPG00000006508	DPOGS208541	Msex2.06717
PIERAPT00000015632	Wdr35_2	PIERAPG00000006509	DPOGS203941	Msex2.01358
PIERAPT00000015633	G109842	PIERAPG00000006510	DPOGS204043	Msex2.00844
PIERAPT00000015637	ALN_2	PIERAPG00000006511	DPOGS205069	NA
PIERAPT00000015640	NCPR	PIERAPG00000006512	DPOGS206114	Msex2.01254
PIERAPT00000015642	SLC7A6	PIERAPG00000006513	DPOGS203336	Msex2.10428
PIERAPT00000015646	tig_4	PIERAPG00000006514	DPOGS215472	Msex2.04447
PIERAPT00000015648	Agrn_2	PIERAPG00000006516	DPOGS203716	Msex2.00183
PIERAPT00000015649	CG17365	PIERAPG00000006517	DPOGS201800	NA
PIERAPT00000015653	ESTF_11	PIERAPG00000006521	DPOGS209885	Msex2.10707
PIERAPT00000015654	Cbp53E	PIERAPG00000006522	DPOGS202551	NA
PIERAPT00000015655	Tret1SFP2	PIERAPG00000006523	NA	Msex2.09058
PIERAPT00000015672	GPR125	PIERAPG00000006526	DPOGS200640	Msex2.04062
PIERAPT00000015676	Tjap1	PIERAPG00000006527	DPOGS206609	Msex2.05205
PIERAPT00000015678	G104426	PIERAPG00000006528	DPOGS214176	Msex2.03138
PIERAPT00000015679	KATNA1	PIERAPG00000006529	DPOGS209833	Msex2.07192
PIERAPT00000015682	lamc1	PIERAPG00000006530	DPOGS209734	Msex2.06030
PIERAPT00000015683	ZG57	PIERAPG00000006531	DPOGS215796	Msex2.13245
PIERAPT00000015688	VPK2ETA_26410	PIERAPG00000006532	DPOGS212909	NA
PIERAPT00000015690	eIF3-S7	PIERAPG00000006533	DPOGS213311	Msex2.03013
PIERAPT00000015691	CDC6	PIERAPG00000006534	NA	Msex2.03185
PIERAPT00000015693	Lars2	PIERAPG00000006535	DPOGS203671	Msex2.09433
PIERAPT00000015697	HBS1L	PIERAPG00000006536	DPOGS208730	Msex2.08187
PIERAPT00000015698	patl1_2	PIERAPG00000006537	DPOGS201958	Msex2.07669
PIERAPT00000015701	FUT6	PIERAPG00000006538	DPOGS204351	Msex2.02717
PIERAPT00000015704	DBI	PIERAPG00000006540	DPOGS212444,DPOGS212442	NA
PIERAPT00000015709	Exd1	PIERAPG00000006542	DPOGS212196	Msex2.04535
PIERAPT00000015713	G106516	PIERAPG00000006543	DPOGS212208	Msex2.04557
PIERAPT00000015716	beg	PIERAPG00000006545	DPOGS210607	Msex2.11314
PIERAPT00000015717	ATP6AP1	PIERAPG00000006546	DPOGS205202	Msex2.09814
PIERAPT00000015719	plsX	PIERAPG00000006547	DPOGS202938	NA
PIERAPT00000015722	G113001	PIERAPG00000006548	DPOGS214815	Msex2.07989
PIERAPT00000015726	Dat_4	PIERAPG00000006549	DPOGS206705	Msex2.15503
PIERAPT00000015728	NDUFB7	PIERAPG00000006550	DPOGS205766	Msex2.04383
PIERAPT00000015733	G106364	PIERAPG00000006551	DPOGS208187	Msex2.03770
PIERAPT00000015735	SLC31A1_3	PIERAPG00000006552	NA	Msex2.10245
PIERAPT00000015745	ZNHIT2	PIERAPG00000006557	DPOGS206920	Msex2.05095
PIERAPT00000015747	Tenm3	PIERAPG00000006559	DPOGS210688	NA
PIERAPT00000015752	Cctgamma	PIERAPG00000006561	DPOGS205402	Msex2.06942
PIERAPT00000015753	Det1	PIERAPG00000006562	DPOGS202508	Msex2.02508
PIERAPT00000015758	ints4	PIERAPG00000006566	DPOGS213949	Msex2.08207
PIERAPT00000015765	iolXZswim5	PIERAPG00000006567	DPOGS200997,DPOGS200998	NA
PIERAPT00000015766	psmb4	PIERAPG00000006568	DPOGS209852	Msex2.03878
PIERAPT00000015768	NF2	PIERAPG00000006570	DPOGS207092	Msex2.03599
PIERAPT00000015771	PIGP	PIERAPG00000006571	NA	Msex2.10021
PIERAPT00000015772	hisD	PIERAPG00000006572	NA	Msex2.05693
PIERAPT00000015773	G112975	PIERAPG00000006573	DPOGS214790	Msex2.07994
PIERAPT00000015779	RhoGAP100F	PIERAPG00000006576	DPOGS203274	Msex2.10272
PIERAPT00000015783	SNX6	PIERAPG00000006578	DPOGS200454	Msex2.10434
PIERAPT00000015785	LRRC43cep97	PIERAPG00000006580	DPOGS214113	Msex2.02004
PIERAPT00000015791	N2L	PIERAPG00000006583	NA	Msex2.10533
PIERAPT00000015794	Jupiter_2	PIERAPG00000006586	NA	Msex2.13973
PIERAPT00000015801	PUS7	PIERAPG00000006587	DPOGS202470	NA
PIERAPT00000015803	Abcd2	PIERAPG00000006588	DPOGS213906	Msex2.05212
PIERAPT00000015818	Dmrt2	PIERAPG00000006590	DPOGS215662	Msex2.09625
PIERAPT00000015823	Ror_2	PIERAPG00000006593	DPOGS208555	Msex2.06691
PIERAPT00000015825	TIF35rlmH	PIERAPG00000006594	DPOGS213555	Msex2.02346
PIERAPT00000015826	TBA	PIERAPG00000006595	DPOGS203334,DPOGS214479	Msex2.02828,Msex2.04846
PIERAPT00000015827	murB	PIERAPG00000006596	DPOGS201929	Msex2.05899
PIERAPT00000015828	Ppapdc2	PIERAPG00000006597	DPOGS208690	Msex2.04110
PIERAPT00000015830	unk	PIERAPG00000006598	DPOGS200366	Msex2.03536
PIERAPT00000015832	hisBAMP1	PIERAPG00000006599	NA	Msex2.13877
PIERAPT00000015835	ODA1	PIERAPG00000006601	DPOGS201801	Msex2.08307
PIERAPT00000015837	EXOSC2	PIERAPG00000006603	DPOGS213088	Msex2.12417,Msex2.13892
PIERAPT00000015838	At5g47300	PIERAPG00000006604	DPOGS203304	Msex2.05993
PIERAPT00000015839	Rpd3	PIERAPG00000006605	DPOGS207273	Msex2.01035
PIERAPT00000015841	SLC25A1	PIERAPG00000006607	DPOGS212748	Msex2.10648
PIERAPT00000015853	RrhSCOP1	PIERAPG00000006611	NA	Msex2.09236
PIERAPT00000015857	Rest	PIERAPG00000006612	DPOGS214461	Msex2.11516
PIERAPT00000015859	Fmr1	PIERAPG00000006613	DPOGS202351	Msex2.09225
PIERAPT00000015864	EXOSC3	PIERAPG00000006617	DPOGS200836	Msex2.07798
PIERAPT00000015867	SLC46A3_3	PIERAPG00000006619	DPOGS200903	Msex2.11531
PIERAPT00000015868	Picot_8	PIERAPG00000006620	DPOGS206348	Msex2.04741
PIERAPT00000015869	COGS_9	PIERAPG00000006621	DPOGS207119	Msex2.01606
PIERAPT00000015870	Obp19d_2	PIERAPG00000006622	DPOGS207887	NA
PIERAPT00000015872	Dgkq	PIERAPG00000006624	DPOGS204109	Msex2.00756
PIERAPT00000015886	timm21	PIERAPG00000006625	DPOGS211180	NA
PIERAPT00000015887	Arl4c_2	PIERAPG00000006626	DPOGS207272	Msex2.01030
PIERAPT00000015889	sbr	PIERAPG00000006628	DPOGS208508	Msex2.10882
PIERAPT00000015890	Chst11	PIERAPG00000006629	DPOGS202931	Msex2.06375
PIERAPT00000015891	psmb4_2	PIERAPG00000006630	DPOGS209852	Msex2.03878
PIERAPT00000015893	Scn4a	PIERAPG00000006632	DPOGS201476	NA
PIERAPT00000015894	hb	PIERAPG00000006633	DPOGS208685	Msex2.04101
PIERAPT00000015901	Dnaaf3	PIERAPG00000006636	DPOGS210002	Msex2.07165
PIERAPT00000015906	folC	PIERAPG00000006638	NA	Msex2.14637
PIERAPT00000015912	ZK637.1SV2BSv2c	PIERAPG00000006639	DPOGS210587	Msex2.04276
PIERAPT00000015918	N_2	PIERAPG00000006640	DPOGS208823	Msex2.14136
PIERAPT00000015946	CG42684	PIERAPG00000006641	DPOGS213125	Msex2.11593
PIERAPT00000015950	COX15	PIERAPG00000006642	DPOGS209136	Msex2.00391
PIERAPT00000015953	VDPP4_2	PIERAPG00000006644	DPOGS205172	Msex2.04209
PIERAPT00000015954	TPK1	PIERAPG00000006645	DPOGS208958	Msex2.08013
PIERAPT00000015956	Tpcn1	PIERAPG00000006646	DPOGS206837	Msex2.01591
PIERAPT00000015961	Ance	PIERAPG00000006647	DPOGS205559	Msex2.07569
PIERAPT00000015967	CG3887	PIERAPG00000006649	DPOGS206550	Msex2.07144
PIERAPT00000015968	rpsG	PIERAPG00000006650	DPOGS210184	Msex2.02161
PIERAPT00000015970	CG15093	PIERAPG00000006651	DPOGS216122	Msex2.11539
PIERAPT00000015972	ncs-2	PIERAPG00000006653	DPOGS212557	Msex2.07341
PIERAPT00000015975	Ksr1	PIERAPG00000006655	DPOGS200860	Msex2.07797
PIERAPT00000015978	SDR16C5	PIERAPG00000006656	DPOGS200410	Msex2.02610
PIERAPT00000015981	eny2	PIERAPG00000006657	DPOGS215837	Msex2.08484
PIERAPT00000015983	TRYP_7	PIERAPG00000006659	DPOGS215670,DPOGS215671	Msex2.03758,Msex2.09649,Msex2.09650,Msex2.09656,Msex2.10710
PIERAPT00000015991	Dscam2Dscaml1	PIERAPG00000006660	DPOGS205029	Msex2.09537
PIERAPT00000016004	VKT2_2	PIERAPG00000006661	DPOGS202893	Msex2.13683
PIERAPT00000016008	NPY1R	PIERAPG00000006664	NA	Msex2.12569
PIERAPT00000016010	NBN	PIERAPG00000006666	DPOGS205349	Msex2.01125
PIERAPT00000016012	POLR3D	PIERAPG00000006667	DPOGS215212	Msex2.05874
PIERAPT00000016021	dan	PIERAPG00000006670	DPOGS214934	Msex2.12564
PIERAPT00000016022	Bub1	PIERAPG00000006671	DPOGS202022	Msex2.00665
PIERAPT00000016025	crt	PIERAPG00000006672	DPOGS210046	NA
PIERAPT00000016027	SCPL41_2	PIERAPG00000006673	DPOGS214036	NA
PIERAPT00000016028	ABCG4_2	PIERAPG00000006674	DPOGS212605	Msex2.02959
PIERAPT00000016031	ATG14	PIERAPG00000006675	DPOGS201835	Msex2.07946
PIERAPT00000016042	eif4ebp3l	PIERAPG00000006678	DPOGS204664	Msex2.03452
PIERAPT00000016043	ESTF_12	PIERAPG00000006679	DPOGS209886	Msex2.10706
PIERAPT00000016044	Hlcs	PIERAPG00000006680	DPOGS204685	Msex2.09300
PIERAPT00000016047	Lipe	PIERAPG00000006681	DPOGS206593	Msex2.01196
PIERAPT00000016058	Strip1	PIERAPG00000006684	DPOGS201250	Msex2.02248
PIERAPT00000016065	PI4KA	PIERAPG00000006685	DPOGS207018	Msex2.05094
PIERAPT00000016076	CCDC101	PIERAPG00000006686	DPOGS214657	Msex2.08749
PIERAPT00000016083	l(2)03659_5	PIERAPG00000006688	DPOGS202687	Msex2.07664
PIERAPT00000016091	Rbm28	PIERAPG00000006689	DPOGS216120	Msex2.11533
PIERAPT00000016094	CG32751	PIERAPG00000006691	NA	Msex2.14953
PIERAPT00000016095	C05D10.2	PIERAPG00000006692	DPOGS200758	Msex2.11041
PIERAPT00000016099	USP31	PIERAPG00000006693	DPOGS200262	Msex2.03569
PIERAPT00000016109	Hen1yomI	PIERAPG00000006696	DPOGS213063	Msex2.08803
PIERAPT00000016113	NOSTRIN	PIERAPG00000006698	DPOGS202978	Msex2.07352
PIERAPT00000016115	HMCN2_2	PIERAPG00000006699	DPOGS212545	Msex2.11963
PIERAPT00000016116	Mmd2	PIERAPG00000006700	DPOGS209731	Msex2.06025
PIERAPT00000016117	MJ0943	PIERAPG00000006701	DPOGS203576	Msex2.07464
PIERAPT00000016128	pelCfixG	PIERAPG00000006704	DPOGS208033	Msex2.00701
PIERAPT00000016138	SDAD1	PIERAPG00000006708	DPOGS205353	Msex2.01131
PIERAPT00000016146	crn	PIERAPG00000006710	DPOGS211365	Msex2.00437
PIERAPT00000016148	PDE6D	PIERAPG00000006711	DPOGS205184	Msex2.04196
PIERAPT00000016150	Pdss2_2	PIERAPG00000006712	DPOGS212810	Msex2.00867
PIERAPT00000016153	UL32	PIERAPG00000006714	DPOGS213389	Msex2.06077
PIERAPT00000016155	Dys_3	PIERAPG00000006715	DPOGS214337	Msex2.07629
PIERAPT00000016158	SFXN1	PIERAPG00000006717	DPOGS215533	NA
PIERAPT00000016162	Syne1anc-1	PIERAPG00000006720	DPOGS212022	Msex2.06086
PIERAPT00000016174	cnc	PIERAPG00000006722	DPOGS214612	NA
PIERAPT00000016178	sqd	PIERAPG00000006723	DPOGS210542	Msex2.04249
PIERAPT00000016179	PTRHD1	PIERAPG00000006724	DPOGS211028	Msex2.05833
PIERAPT00000016185	Fur1_2	PIERAPG00000006725	DPOGS215240	Msex2.00723
PIERAPT00000016190	PyK_2	PIERAPG00000006726	DPOGS213656	Msex2.02915
PIERAPT00000016191	eg	PIERAPG00000006727	DPOGS212336	Msex2.09151
PIERAPT00000016198	Fbn2FBN1	PIERAPG00000006729	DPOGS215419	Msex2.12009
PIERAPT00000016210	abd1rplR	PIERAPG00000006732	DPOGS208597	NA
PIERAPT00000016215	Tril	PIERAPG00000006733	DPOGS200916	Msex2.06554
PIERAPT00000016216	CYC	PIERAPG00000006734	DPOGS216029	Msex2.01656
PIERAPT00000016217	creld2-a	PIERAPG00000006735	DPOGS207760	NA
PIERAPT00000016218	NDUFA11	PIERAPG00000006736	DPOGS206013	Msex2.13322
PIERAPT00000016219	NSA2	PIERAPG00000006737	NA	Msex2.07325,Msex2.15521
PIERAPT00000016223	MIPEP_2	PIERAPG00000006739	DPOGS215726	Msex2.00921
PIERAPT00000016224	Arap2	PIERAPG00000006740	DPOGS203996	Msex2.02055,Msex2.13298
PIERAPT00000016235	Rabgap1	PIERAPG00000006744	DPOGS213150	Msex2.13587
PIERAPT00000016244	iHog	PIERAPG00000006747	DPOGS202636	Msex2.01164
PIERAPT00000016249	Nop2	PIERAPG00000006748	DPOGS208120	Msex2.01309
PIERAPT00000016253	SGP1	PIERAPG00000006751	DPOGS215527	Msex2.11050
PIERAPT00000016261	G103696	PIERAPG00000006753	DPOGS214575	Msex2.11022
PIERAPT00000016263	RpS10	PIERAPG00000006754	DPOGS211872	Msex2.06816
PIERAPT00000016267	ZNF57_3	PIERAPG00000006756	NA	Msex2.11807
PIERAPT00000016269	AAEL011121CPIJ013394	PIERAPG00000006757	DPOGS204317	Msex2.11932
PIERAPT00000016273	Zc2hc1b	PIERAPG00000006758	NA	Msex2.01214
PIERAPT00000016281	GEMIN7	PIERAPG00000006760	DPOGS205906	NA
PIERAPT00000016282	ASOAAO	PIERAPG00000006761	DPOGS212147	Msex2.04329
PIERAPT00000016285	mRpL28	PIERAPG00000006762	DPOGS211879	Msex2.06828
PIERAPT00000016286	SGF3	PIERAPG00000006763	NA	Msex2.10845
PIERAPT00000016288	Tstd3_2	PIERAPG00000006765	DPOGS208926	Msex2.08653
PIERAPT00000016292	svp	PIERAPG00000006767	DPOGS201083	NA
PIERAPT00000016293	acn-1	PIERAPG00000006768	DPOGS210755	NA
PIERAPT00000016299	TMEM57	PIERAPG00000006771	DPOGS205327	NA
PIERAPT00000016302	MypopdeoB	PIERAPG00000006772	NA	Msex2.05431
PIERAPT00000016303	prf1	PIERAPG00000006773	DPOGS208981	NA
PIERAPT00000016304	ZC3H11A	PIERAPG00000006774	DPOGS216128	Msex2.00061
PIERAPT00000016305	hfw	PIERAPG00000006775	DPOGS207497	Msex2.08233
PIERAPT00000016307	Piga	PIERAPG00000006777	DPOGS211907	Msex2.15238
PIERAPT00000016311	mei-9	PIERAPG00000006780	DPOGS208542	Msex2.06714
PIERAPT00000016314	rnf157	PIERAPG00000006781	DPOGS212435	Msex2.04515
PIERAPT00000016319	Il4r	PIERAPG00000006783	DPOGS212032	NA
PIERAPT00000016320	SSP_2	PIERAPG00000006784	DPOGS201079	Msex2.02860,Msex2.02861,Msex2.02859
PIERAPT00000016321	lolal_5	PIERAPG00000006785	DPOGS202712	Msex2.12271
PIERAPT00000016327	NPC2_3	PIERAPG00000006787	DPOGS202273	Msex2.05299
PIERAPT00000016328	sibE	PIERAPG00000006788	DPOGS209312	Msex2.10977
PIERAPT00000016330	Fam110c	PIERAPG00000006790	DPOGS209754	Msex2.00135
PIERAPT00000016331	CG5902_2	PIERAPG00000006791	DPOGS205924	Msex2.12438
PIERAPT00000016333	Mal-B2_3	PIERAPG00000006792	DPOGS201307	Msex2.12170
PIERAPT00000016335	mnb	PIERAPG00000006793	DPOGS208526	Msex2.10884
PIERAPT00000016340	FASTKD5	PIERAPG00000006794	DPOGS215972	Msex2.09480
PIERAPT00000016344	heatr6	PIERAPG00000006796	DPOGS212302	Msex2.08823
PIERAPT00000016350	VPS29	PIERAPG00000006797	DPOGS212684	Msex2.08313
PIERAPT00000016351	GTF3C2	PIERAPG00000006798	DPOGS214227	Msex2.03193
PIERAPT00000016353	stg	PIERAPG00000006799	DPOGS203355	Msex2.14591
PIERAPT00000016357	INV	PIERAPG00000006800	DPOGS212467	Msex2.09616
PIERAPT00000016361	Akr1b1	PIERAPG00000006801	DPOGS215024	Msex2.12071
PIERAPT00000016363	BA71V-145	PIERAPG00000006802	DPOGS211594	Msex2.00587
PIERAPT00000016365	IMPIvps10	PIERAPG00000006803	DPOGS211409	Msex2.07076
PIERAPT00000016367	Ttpa_2	PIERAPG00000006804	DPOGS206942	NA
PIERAPT00000016368	MPN_2	PIERAPG00000006805	NA	Msex2.10488
PIERAPT00000016370	Abcf2	PIERAPG00000006807	DPOGS201401	Msex2.06970
PIERAPT00000016373	BH0128_2	PIERAPG00000006808	DPOGS211674	Msex2.05950
PIERAPT00000016374	TMLHE_3	PIERAPG00000006809	DPOGS205173	Msex2.04210
PIERAPT00000016379	G114689	PIERAPG00000006810	NA	Msex2.03650
PIERAPT00000016381	si:dkey-263h23.3	PIERAPG00000006811	DPOGS215075	Msex2.06447
PIERAPT00000016385	RpS3	PIERAPG00000006812	DPOGS207421	Msex2.01436
PIERAPT00000016386	PebIII_10	PIERAPG00000006813	DPOGS214315	Msex2.07604
PIERAPT00000016387	dda1	PIERAPG00000006814	DPOGS214336	NA
PIERAPT00000016397	A2m	PIERAPG00000006818	DPOGS206012	Msex2.13097
PIERAPT00000016403	Gtpbp2	PIERAPG00000006819	DPOGS203345	Msex2.11636
PIERAPT00000016407	G107130	PIERAPG00000006820	DPOGS212612,DPOGS206245	NA
PIERAPT00000016412	ZNF799Znf431	PIERAPG00000006822	DPOGS208106	NA
PIERAPT00000016416	CCT5	PIERAPG00000006824	DPOGS209097	Msex2.03853
PIERAPT00000016421	GSK3B	PIERAPG00000006827	DPOGS206625	Msex2.00524
PIERAPT00000016424	C45G9.7	PIERAPG00000006828	DPOGS215755	Msex2.09632
PIERAPT00000016426	Dmn	PIERAPG00000006830	DPOGS200821	Msex2.06677
PIERAPT00000016427	Stk24	PIERAPG00000006831	DPOGS214288	Msex2.02028
PIERAPT00000016439	SEC16A	PIERAPG00000006834	DPOGS215295	NA
PIERAPT00000016445	wbl	PIERAPG00000006836	DPOGS207007	Msex2.05066
PIERAPT00000016447	NLGN4YNLGN4X	PIERAPG00000006837	DPOGS212456	Msex2.01473
PIERAPT00000016449	CCDC149	PIERAPG00000006838	DPOGS209157	Msex2.04472
PIERAPT00000016454	Lman1	PIERAPG00000006839	DPOGS201735	Msex2.05954
PIERAPT00000016461	Btbd9	PIERAPG00000006841	DPOGS205931	Msex2.11328
PIERAPT00000016466	Chsy1	PIERAPG00000006843	DPOGS215377	NA
PIERAPT00000016468	slc25a38_2	PIERAPG00000006844	DPOGS205733	Msex2.05344
PIERAPT00000016471	G112908	PIERAPG00000006845	DPOGS215616	Msex2.06989
PIERAPT00000016476	Flt1	PIERAPG00000006846	DPOGS206180	NA
PIERAPT00000016480	EN03	PIERAPG00000006848	DPOGS207191	Msex2.03419
PIERAPT00000016483	CNX2Mocs1	PIERAPG00000006849	DPOGS203140	Msex2.00412
PIERAPT00000016485	yipf5	PIERAPG00000006850	DPOGS211595	Msex2.00588
PIERAPT00000016488	Rap2c	PIERAPG00000006853	DPOGS203660	Msex2.07877
PIERAPT00000016491	pif1_2	PIERAPG00000006855	NA	Msex2.12622
PIERAPT00000016492	At5g47280rep	PIERAPG00000006856	DPOGS207778	Msex2.08822
PIERAPT00000016496	ea_4	PIERAPG00000006857	DPOGS206560	Msex2.10122,Msex2.14451,Msex2.14453
PIERAPT00000016498	minE	PIERAPG00000006859	DPOGS210831	Msex2.09696
PIERAPT00000016500	Hadha	PIERAPG00000006860	DPOGS211087	Msex2.10082
PIERAPT00000016509	Zbtb1RHE_CH01817	PIERAPG00000006861	DPOGS206277	Msex2.05811
PIERAPT00000016517	MTFP1	PIERAPG00000006862	DPOGS206839	Msex2.01580
PIERAPT00000016521	Eme1	PIERAPG00000006865	DPOGS207127	NA
PIERAPT00000016522	QSOX1	PIERAPG00000006866	DPOGS203952	Msex2.01365
PIERAPT00000016529	USP9X	PIERAPG00000006868	DPOGS204226	Msex2.06208
PIERAPT00000016532	Ptp10D	PIERAPG00000006869	DPOGS215963	NA
PIERAPT00000016536	guaAlolDlepAERCC8BIT61	PIERAPG00000006871	DPOGS201172	Msex2.04760
PIERAPT00000016556	Znf346Znf385b	PIERAPG00000006872	DPOGS208081	Msex2.11129
PIERAPT00000016560	WDR89	PIERAPG00000006873	DPOGS209888	Msex2.10701
PIERAPT00000016562	ECLH	PIERAPG00000006874	DPOGS213566	NA
PIERAPT00000016565	TRYB	PIERAPG00000006877	NA	Msex2.03225
PIERAPT00000016567	PSIP1	PIERAPG00000006878	DPOGS203861	Msex2.02556
PIERAPT00000016572	mkrn2	PIERAPG00000006880	DPOGS204878	NA
PIERAPT00000016574	Slu7	PIERAPG00000006881	DPOGS200600	Msex2.04064
PIERAPT00000016575	PDSS1	PIERAPG00000006882	DPOGS202015	Msex2.00678
PIERAPT00000016580	CrebA	PIERAPG00000006884	DPOGS205178	NA
PIERAPT00000016582	PQBP1	PIERAPG00000006886	DPOGS202310	Msex2.05288
PIERAPT00000016586	G107600	PIERAPG00000006888	DPOGS203527	Msex2.04905
PIERAPT00000016590	TTPAL	PIERAPG00000006889	DPOGS206917	Msex2.05101
PIERAPT00000016592	PCNP	PIERAPG00000006891	DPOGS213211	NA
PIERAPT00000016597	tig_5	PIERAPG00000006895	DPOGS206292	Msex2.02363
PIERAPT00000016598	UQCRC2	PIERAPG00000006896	DPOGS204885	Msex2.10324
PIERAPT00000016606	CDIPT	PIERAPG00000006901	DPOGS201781	Msex2.11363
PIERAPT00000016607	G105378	PIERAPG00000006902	NA	Msex2.05424
PIERAPT00000016608	ro	PIERAPG00000006903	DPOGS210977	Msex2.07251
PIERAPT00000016613	CadN_2	PIERAPG00000006905	DPOGS209332	Msex2.06529
PIERAPT00000016618	FAT4PCDHA11	PIERAPG00000006907	DPOGS207947	Msex2.06359
PIERAPT00000016626	Cyp4v2	PIERAPG00000006909	NA	Msex2.13515
PIERAPT00000016631	ATP6AP1_2	PIERAPG00000006910	DPOGS208202	Msex2.02100
PIERAPT00000016638	acvr2a	PIERAPG00000006914	DPOGS204127	Msex2.00768
PIERAPT00000016640	CHS7	PIERAPG00000006916	DPOGS202964	Msex2.00973
PIERAPT00000016641	Ush1g	PIERAPG00000006917	DPOGS200308	Msex2.05378
PIERAPT00000016643	Gpr39	PIERAPG00000006918	DPOGS203055	Msex2.01275
PIERAPT00000016647	ispDFKirrel3	PIERAPG00000006920	DPOGS201141	Msex2.13681
PIERAPT00000016648	TSNARE1rps3	PIERAPG00000006921	DPOGS213587	Msex2.02367
PIERAPT00000016654	Zip99C_2	PIERAPG00000006922	DPOGS209857	Msex2.11827
PIERAPT00000016658	EFHC1	PIERAPG00000006924	DPOGS208656	Msex2.09783
PIERAPT00000016659	CG4666_2	PIERAPG00000006925	NA	Msex2.03119
PIERAPT00000016661	IMPA1	PIERAPG00000006927	DPOGS215056	Msex2.03562
PIERAPT00000016662	Cht3_3	PIERAPG00000006928	DPOGS212464,DPOGS212465	Msex2.09613
PIERAPT00000016664	IDH3G	PIERAPG00000006930	DPOGS200448	Msex2.01914
PIERAPT00000016665	FSTL4	PIERAPG00000006931	DPOGS212014	Msex2.14070
PIERAPT00000016666	GTSF1_2	PIERAPG00000006932	DPOGS210406	Msex2.13344,Msex2.13736
PIERAPT00000016667	pol_4	PIERAPG00000006933	NA	Msex2.11990
PIERAPT00000016668	G104694	PIERAPG00000006934	DPOGS215815	Msex2.08483
PIERAPT00000016674	oxt	PIERAPG00000006935	DPOGS211641	Msex2.12251
PIERAPT00000016676	UNC79_2	PIERAPG00000006936	DPOGS209027	NA
PIERAPT00000016681	JMJD1C	PIERAPG00000006937	DPOGS212258	Msex2.03283
